,Kx [1/m],Ky [1/m],Kz [1/m],intensity
96,-3824105.6409108713,2221264.907821667,1266924960.4516633,2.2419071542211408e-07
97,-3817907.738737596,2231901.037691411,1266924960.4516633,2.220300619962584e-07
98,-3811709.8365643206,2242469.5907574757,1266924960.4516633,2.199136556830759e-07
99,-3805511.934391045,2252971.5179593368,1266924960.4516633,2.1784016114350241e-07
100,-3799314.0322177703,2263407.746760623,1266924960.4516635,2.1580829620184897e-07
101,-3793116.1300444948,2273779.181792286,1266924960.4516633,2.1381682926305585e-07
102,-3786918.2278712196,2284086.705688731,1266924960.4516633,2.118645768319654e-07
103,-3780720.325697944,2294331.179776799,1266924960.4516633,2.0995040120036138e-07
104,-3774522.4235246694,2304513.4449562235,1266924960.4516633,2.0807320822036388e-07
105,-3768324.521351393,2314634.3221580377,1266924960.4516633,2.062319452850934e-07
106,-3762126.619178118,2324694.6132754725,1266924960.4516633,2.0442559932112163e-07
107,-3755928.7170048426,2334695.101402322,1266924960.4516633,2.0265319502661825e-07
108,-3749730.8148315675,2344636.5517648994,1266924960.4516633,2.0091379306382251e-07
109,-3743532.9126582923,2354519.712294632,1266924960.4516633,1.9920648841682773e-07
110,-3737335.0104850163,2364345.313852441,1266924960.4516633,1.9753040890111345e-07
111,-3731137.1083117416,2374114.0710858856,1266924960.4516633,1.958847136275768e-07
112,-3724939.206138466,2383826.6829348146,1266924960.4516633,1.94268591611636e-07
113,-3718741.303965191,2393483.832796035,1266924960.4516633,1.9268126051560922e-07
114,-3712543.4017919158,2403086.189368995,1266924960.4516633,1.9112196532718544e-07
115,-3706345.4996186406,2412634.4068374713,1266924960.4516633,1.8958997722517925e-07
116,-3700147.597445365,2422129.1255158135,1266924960.4516633,1.8808459241617792e-07
117,-3693949.6952720894,2431570.9721050705,1266924960.4516633,1.8660513109772155e-07
118,-3687751.793098814,2440960.5601467625,1266924960.4516633,1.8515093643596256e-07
119,-3681553.890925539,2450298.4903558176,1266924960.4516633,1.837213736132451e-07
120,-3675355.9887522636,2459585.3511484405,1266924960.4516633,1.8231582888685584e-07
121,-3669158.0865789885,2468821.718841601,1266924960.4516633,1.8093370874838632e-07
122,-3662960.184405713,2478008.157997871,1266924960.4516633,1.7957443909714154e-07
123,-3656762.2822324373,2487145.2219120613,1266924960.4516633,1.7823746442785728e-07
124,-3650564.3800591626,2496233.4527747994,1266924960.4516633,1.7692224710948321e-07
125,-3644366.477885887,2505273.3819812955,1266924960.4516633,1.7562826667242087e-07
126,-3638168.575712612,2514265.530581843,1266924960.4516633,1.7435501910476444e-07
127,-3631970.6735393363,2523210.4094141647,1266924960.4516633,1.7310201623148912e-07
128,-3625772.771366062,2532108.5193806365,1266924960.4516635,1.718687850976469e-07
129,-3619574.869192786,2540960.351917361,1266924960.4516633,1.706548673483506e-07
130,-3613376.9670195105,2549766.388897618,1266924960.4516633,1.694598187246485e-07
131,-3607179.064846235,2558527.1031841733,1266924960.4516633,1.6828320847990572e-07
132,-3600981.1626729597,2567242.958817883,1266924960.4516633,1.6712461887766777e-07
133,-3594783.2604996846,2575914.4111495623,1266924960.4516633,1.6598364471939958e-07
134,-3588585.3583264085,2584541.907114682,1266924960.4516633,1.6485989287045525e-07
135,-3582387.456153134,2593125.8854008606,1266924960.4516633,1.6375298182201195e-07
136,-3576189.5539798583,2601666.7768059764,1266924960.4516633,1.6266254124293255e-07
137,-3569991.651806583,2610165.0042922576,1266924960.4516633,1.6158821159498893e-07
138,-3563793.749633309,2618620.9831833243,1266924960.4516635,1.6052964374280633e-07
139,-3557595.847460033,2627035.1215497665,1266924960.4516633,1.5948649855250835e-07
140,-3551397.945286758,2635407.820002058,1266924960.4516635,1.5845844659158026e-07
141,-3545200.0431134827,2643739.472404949,1266924960.4516633,1.574451677095963e-07
142,-3539002.140940206,2652030.465514301,1266924960.4516633,1.564463507878376e-07
143,-3532804.2387669315,2660281.1795327193,1266924960.4516633,1.5546169337001778e-07
144,-3526606.336593656,2668491.9880771614,1266924960.4516633,1.5449090138929816e-07
145,-3520408.4344203807,2676663.258336393,1266924960.4516633,1.5353368887965397e-07
146,-3514210.5322471056,2684795.3513666545,1266924960.4516633,1.5258977767964574e-07
147,-3508012.6300738305,2692888.622047336,1266924960.4516635,1.5165889719357526e-07
148,-3501814.727900555,2700943.41946217,1266924960.4516633,1.5074078410464366e-07
149,-3495616.8257272793,2708960.086704859,1266924960.4516633,1.498351821755858e-07
150,-3489418.923554004,2716938.9613460214,1266924960.4516633,1.4894184196941978e-07
151,-3483221.021380729,2724880.3753265934,1266924960.4516633,1.4806052065589387e-07
152,-3477023.119207454,2732784.655273079,1266924960.4516633,1.471909817702213e-07
153,-3470825.2170341783,2740652.1224788814,1266924960.4516633,1.4633299502383633e-07
154,-3464627.314860903,2748483.093024223,1266924960.4516635,1.4548633610425682e-07
155,-3458429.4126876276,2756277.878078333,1266924960.4516633,1.4465078645918472e-07
156,-3452231.5105143525,2764036.7836394655,1266924960.4516635,1.4382613315918678e-07
157,-3446033.6083410773,2771760.111155364,1266924960.4516633,1.4301216865522926e-07
158,-3439835.7061678017,2779448.157118963,1266924960.4516633,1.4220869067212426e-07
159,-3433637.803994526,2787101.2135421275,1266924960.4516633,1.4141550199745442e-07
160,-3427439.9018212506,2794719.5678708088,1266924960.4516633,1.4063241034638387e-07
161,-3421241.9996479754,2802303.5030831327,1266924960.4516633,1.3985922820888308e-07
162,-3415044.0974747003,2809853.297921441,1266924960.4516633,1.3909577268620128e-07
163,-3408846.195301425,2817369.2268469175,1266924960.4516633,1.3834186536619346e-07
164,-3402648.29312815,2824851.560129842,1266924960.4516635,1.3759733218675006e-07
