,Kx [1/m],Ky [1/m],Kz [1/m],intensity
0,-11050859.574949896,334898.64716358593,1266884438.1247818,1.7372314444249046e-05
1,-11044661.672776619,499102.177082008,1266884438.1247818,7.79704072923919e-06
2,-11038463.770603344,621266.4760825261,1266884438.1247818,5.020298481968924e-06
3,-11032265.868430069,723024.3823938444,1266884438.1247818,3.699365032266473e-06
4,-11026067.966256792,812083.5256351407,1266884438.1247818,2.9274252205217974e-06
5,-11019870.064083517,892254.571171255,1266884438.1247818,2.421242474359815e-06
6,-11013672.161910243,965753.5705551392,1266884438.1247818,2.0638007335449984e-06
7,-11007474.259736968,1034004.2893528055,1266884438.1247818,1.7979775995800602e-06
8,-11001276.357563693,1097985.8622040635,1266884438.1247818,1.592574631044253e-06
9,-10995078.455390418,1158405.8912557377,1266884438.1247818,1.4291109858934418e-06
10,-10988880.553217143,1215795.4746946546,1266884438.1247818,1.2959433282611627e-06
11,-10982682.651043868,1270565.321233033,1266884438.1247818,1.1853718226619393e-06
12,-10976484.748870593,1323040.8182849083,1266884438.1247818,1.092101180697156e-06
13,-10970286.846697316,1373484.9654335503,1266884438.1247818,1.0123701619962995e-06
14,-10964088.94452404,1422113.9426192264,1266884438.1247818,9.43433674346001e-07
15,-10957891.042350765,1469108.0127587626,1266884438.1247818,8.832413953996039e-07
16,-10951693.140177488,1514619.3622847956,1266884438.1247818,8.302310954183905e-07
17,-10945495.238004213,1558777.8686855934,1266884438.1247818,7.831915866629609e-07
18,-10939297.335830938,1601695.4290850682,1266884438.1247818,7.411693894737067e-07
19,-10933099.433657663,1643469.264325926,1266884438.1247818,7.034036701047107e-07
20,-10926901.53148439,1684184.4822845273,1266884438.1247818,6.692799382359572e-07
21,-10920703.629311115,1723916.091285188,1266884438.1247818,6.38296485811123e-07
22,-10914505.72713784,1762730.6037259353,1266884438.1247818,6.100396543815239e-07
23,-10908307.824964562,1800687.3256976074,1266884438.1247818,5.841653370191933e-07
24,-10902109.922791287,1837839.4055629564,1266884438.1247818,5.603849546353821e-07
25,-10895912.020618012,1874234.6939996604,1266884438.1247818,5.384546933783245e-07
26,-10889714.118444737,1909916.4556555871,1266884438.1247818,5.181671513058034e-07
27,-10883516.216271462,1944923.9623512279,1266884438.1247818,4.993447879547032e-07
28,-10877318.314098187,1979292.9906691434,1266884438.1247818,4.818347388471787e-07
29,-10871120.411924912,2013056.2432758806,1266884438.1247818,4.655046736831291e-07
30,-10864922.509751635,2046243.706494415,1266884438.1247818,4.5023946181249183e-07
31,-10858724.60757836,2078882.9562974442,1266884438.1247818,4.3593846681501666e-07
32,-10852526.705405084,2110999.421529054,1266884438.1247818,4.225133359796656e-07
33,-10846328.803231807,2142616.6108867917,1266884438.1247818,4.098861824396924e-07
34,-10840130.901058532,2173756.310434084,1266884438.1247818,3.9798808058449027e-07
35,-10833932.998885259,2204438.7550793965,1266884438.1247818,3.86757813974066e-07
36,-10827735.096711984,2234682.77938503,1266884438.1247818,3.7614082716998163e-07
37,-10821537.194538709,2264505.949741798,1266884438.1247818,3.660883441277101e-07
38,-10815339.292365434,2293924.6805839115,1266884438.1247818,3.565566230732888e-07
